Date,Open,High,Low,Close,Adj Close,Volume
5/18/2012,659.451447,667.682065,631.980187,636.921841,627.079579,803288300
5/21/2012,636.029469,653.868289,630.642591,648.479811,638.064138,360866100
5/22/2012,648.116076,650.544651,630.334359,634.848234,624.512526,325378700
5/23/2012,635.06307,645.847525,628.613668,644.653496,634.065605,274548100
5/24/2012,645.85691,648.286045,632.891115,639.771458,629.280804,201974800
5/25/2012,638.009306,640.008628,626.137307,629.819121,619.384711,162009600
5/29/2012,634.281117,638.85064,624.502941,631.323156,620.703543,213112400
5/30/2012,624.918984,630.087699,616.794046,622.795261,612.047596,230422000
5/31/2012,623.782199,630.111255,612.906092,623.45118,612.730225,299264000
6/1/2012,612.173108,616.547223,606.549549,609.498203,599.087917,217770800
6/4/2012,607.895315,622.552595,604.017871,619.583266,609.111739,218953500
6/5/2012,616.669151,623.005567,608.027343,612.88571,602.441275,171816600
6/6/2012,618.353641,627.214082,615.866869,624.699561,614.095,199447200
6/7/2012,631.337162,633.718788,622.50864,624.053943,613.444537,149180700
6/8/2012,622.86268,628.980906,619.707197,627.001229,616.232216,152638500
6/11/2012,629.12851,634.091417,614.842636,617.294249,606.695044,208068100
6/12/2012,620.054016,621.423743,609.591362,616.626299,605.934473,154765400
6/13/2012,614.008336,619.767063,609.27545,612.21023,601.592616,114670900
6/14/2012,613.087698,617.249952,606.915197,611.819738,601.213857,137153700
6/15/2012,613.533769,622.143106,610.640576,620.978136,610.323999,170210100
6/18/2012,618.359517,635.421432,615.457951,631.644876,620.774553,184461700
6/19/2012,633.424026,642.783353,630.65705,639.510631,628.610057,155791300
6/20/2012,639.208126,639.701347,630.304169,635.711013,624.841453,139083100
6/21/2012,637.733082,641.175939,624.726733,625.889688,615.169878,128034100
6/22/2012,629.362344,633.555825,624.852126,632.734405,621.932365,170686500
6/25/2012,627.924288,630.355743,618.151512,622.547397,611.955608,136751800
6/26/2012,625.689247,633.814951,623.169656,631.257106,620.641932,116068800
6/27/2012,631.978607,638.321849,628.227445,633.007028,622.346025,100896900
6/28/2012,628.883401,630.590621,617.413178,624.687059,614.127184,110363900
6/29/2012,635.35503,642.573249,631.08451,641.614801,630.777513,153565600
7/2/2012,643.730818,646.105747,637.042181,643.579762,632.58437,132791700
7/3/2012,643.7392,650.187783,640.840799,649.46887,638.345625,98172900
7/5/2012,649.633556,660.645319,646.993966,654.185919,642.867254,243017500
7/6/2012,651.598841,655.571817,643.161803,646.928762,635.685445,208482500
7/9/2012,646.808524,651.80816,642.731161,648.685143,637.293191,161264400
7/10/2012,652.914467,655.25314,635.563711,639.082459,627.795899,184343700
7/11/2012,635.535399,640.07893,624.033761,631.878499,620.662084,183164600
7/12/2012,627.205419,632.021413,619.374086,628.040551,616.926743,167011800
7/13/2012,630.066718,637.993654,625.356302,634.846419,623.619994,131185700
7/16/2012,632.81315,636.91929,625.728137,629.202277,617.939849,125874300
7/17/2012,633.213579,635.065109,621.937309,630.696739,619.433762,137025300
7/18/2012,630.135571,637.465189,628.606436,634.09423,622.843871,106793800
7/19/2012,641.149897,655.148273,639.442995,650.226954,638.827014,166867500
7/20/2012,656.987665,663.894134,649.868823,659.33667,648.122696,152752500
7/23/2012,648.405978,661.760481,642.730847,659.047198,647.841914,178014900
7/24/2012,659.791718,662.749824,646.988763,651.470594,640.319341,226565700
7/25/2012,644.652768,650.049024,635.430409,639.999806,629.330082,417335200
7/26/2012,645.397433,648.371801,635.056007,642.664788,631.996728,256332500
7/27/2012,647.068032,671.351504,644.175621,669.335897,658.477071,280535500
7/30/2012,670.673118,679.080194,662.696086,667.463705,656.421728,162130300
7/31/2012,665.809833,672.448729,660.347046,665.686019,654.352141,196280800
8/1/2012,669.291512,670.832379,659.922567,662.601572,651.340983,180808900
8/2/2012,656.791384,668.200872,652.383877,658.573904,647.295126,170377900
8/3/2012,668.693627,675.51666,664.722233,671.186135,659.76059,210806100
8/6/2012,671.536493,678.80183,669.150788,673.168355,661.615689,137254200
8/7/2012,673.129547,679.158522,667.16663,673.326892,661.80466,146201100
8/8/2012,671.040379,676.867666,668.192112,671.82444,660.321686,113096800
8/9/2012,672.223023,676.306727,670.107909,671.994215,660.8066,91210600
8/10/2012,669.216952,674.065163,665.951534,671.732727,660.527626,114293900
8/13/2012,674.682617,684.412403,671.925423,681.371249,670.016551,136563600
8/14/2012,683.441254,693.732991,679.736698,685.715833,674.330671,182572300
8/15/2012,685.835626,695.084657,681.970031,690.299331,678.929664,151144900
8/16/2012,689.907242,699.553228,687.227317,696.691543,685.222579,246590000
8/17/2012,697.108483,702.749082,694.397282,699.211407,687.530308,269846700
8/20/2012,698.858767,704.304618,693.74692,701.067278,689.07905,286610800
8/21/2012,700.895367,707.496964,689.628639,695.209224,683.384852,304208500
8/22/2012,693.995332,708.516371,691.709482,704.761343,692.706061,215559800
8/23/2012,702.106065,707.370873,696.160021,701.58775,689.644956,176462300
8/24/2012,700.967138,710.258808,698.87712,706.966487,695.01308,171681700
8/27/2012,701.724244,708.181016,695.723412,701.86904,689.691046,153679400
8/28/2012,699.645505,709.3748,697.770273,708.203364,696.041239,115005300
8/29/2012,708.991687,716.129983,705.493958,714.213249,702.075065,90262300
8/30/2012,711.931017,716.851562,706.418577,708.355801,696.390667,131915300
8/31/2012,711.552905,715.458613,704.614564,711.161556,699.171734,180522300
9/4/2012,710.741149,715.225292,700.22107,709.272704,697.107512,233756100
9/5/2012,709.063207,713.903947,705.200545,707.487597,695.407816,189522400
9/6/2012,712.780646,725.609643,710.572231,723.436997,711.24839,192634100
9/7/2012,726.604461,739.389438,724.349499,735.176543,722.912772,159925600
9/10/2012,736.870496,740.034094,725.79103,727.642275,715.697497,179396300
9/11/2012,727.198256,730.121074,718.976944,722.438297,710.53226,215830300
9/12/2012,724.156354,729.158956,714.742989,724.567205,712.495374,329316700
9/13/2012,726.042346,742.896211,722.799257,738.505997,726.196427,247986000
9/14/2012,742.927945,749.701575,739.453494,744.184946,731.725786,264928300
9/17/2012,744.985737,747.508978,737.023688,741.298658,728.686292,191788400
9/18/2012,740.815635,749.132443,737.903201,746.70032,734.04957,166798400
9/19/2012,746.993205,757.971103,745.063081,755.810231,743.156041,204706600
9/20/2012,751.87232,756.841566,746.949111,754.306212,741.713324,187358700
9/21/2012,758.282158,760.583516,751.146764,754.223114,741.605178,243015300
9/24/2012,747.380847,758.765287,742.734392,755.620809,743.170476,272571600
9/25/2012,759.078949,768.282575,747.498308,749.826936,737.687517,234415900
9/26/2012,749.32207,758.677243,739.182167,748.514636,736.525874,233331800
9/27/2012,752.964659,763.862835,747.174433,759.014663,746.735022,211378100
9/28/2012,757.20406,762.456588,750.868227,754.898401,742.875032,223240700
10/1/2012,759.267749,764.585947,750.461629,755.673359,743.788967,226868000
10/2/2012,758.659842,760.581925,745.434157,752.490179,740.57118,215725900
10/3/2012,753.280413,764.05367,749.038412,762.437747,750.335994,221313900
10/4/2012,763.123706,773.358922,759.584959,769.79237,757.774403,238817300
10/5/2012,771.214569,774.159851,761.789477,764.547417,752.785561,256499800
10/8/2012,759.759146,764.027129,752.276898,758.635005,747.133044,289709600
10/9/2012,758.555182,760.562817,739.000028,742.042852,730.582716,328479800
10/10/2012,742.270572,746.613556,731.530792,736.435518,724.884195,213697000
10/11/2012,744.838532,749.136663,734.29125,737.461168,726.140726,188584100
10/12/2012,736.788344,741.568436,730.487825,732.01304,720.663568,161552900
10/15/2012,731.757582,735.230468,720.164254,732.737928,721.297453,158080900
10/16/2012,733.271641,739.918859,727.486382,736.642422,724.931042,194915500
10/17/2012,735.58168,749.124959,732.79498,745.58013,733.962096,175703700
10/18/2012,744.983608,750.692056,697.892104,710.032369,698.630071,228394100
10/19/2012,715.381173,717.806235,688.753871,695.024869,684.03352,271183800
10/22/2012,693.926314,700.146709,681.405298,691.440697,680.013367,227450000
10/23/2012,684.807423,699.117398,680.67815,690.083262,679.028468,328951800
10/24/2012,699.170509,700.628714,682.608456,685.812551,674.695227,477332100
10/25/2012,690.090343,691.623761,675.951748,678.958813,667.972881,284831100
10/26/2012,683.841172,699.578264,675.986775,692.720142,681.834049,446501100
10/31/2012,690.270621,697.558483,680.791116,689.245506,678.515862,342070600
11/1/2012,690.372716,697.677154,685.988457,692.17974,681.428123,198728600
11/2/2012,697.530601,702.252028,688.54158,689.661282,679.2654,225879200
11/5/2012,688.124805,693.701837,680.705787,690.479122,679.942333,198237000
11/6/2012,693.437263,696.901087,686.635632,692.491438,681.986563,167733300
11/7/2012,685.635392,687.857237,672.10201,675.655819,665.916973,271014000
11/8/2012,677.842946,680.465526,658.776228,659.941384,650.555917,339868400
11/9/2012,660.426972,674.429262,654.784396,665.077036,655.529108,307390800
11/12/2012,666.825675,673.726559,661.575368,666.963839,657.489741,219581000
11/13/2012,663.099225,670.766348,659.827451,663.684472,654.209138,238012900
11/14/2012,665.053612,669.587931,654.322571,658.460894,649.090639,382337700
11/15/2012,656.660666,665.19913,646.594911,651.920054,642.746317,300852200
11/16/2012,651.988847,663.056456,641.356785,658.111618,648.901909,467324700
11/19/2012,667.865738,682.75817,665.38676,677.928798,668.055026,322463300
11/20/2012,679.580661,689.118396,674.058448,682.515494,672.725852,229648900
11/21/2012,682.69876,689.982269,676.066944,686.141742,676.338298,201202300
11/23/2012,691.144067,692.107596,684.277729,690.110688,680.136232,109752600
11/26/2012,691.377108,698.790359,684.486683,694.841974,684.552797,303598000
11/27/2012,694.052388,704.683966,689.294272,699.061258,688.854997,242702300
11/28/2012,695.436317,710.52046,691.394014,709.052792,698.878651,202767400
11/29/2012,713.242984,722.372958,708.536621,719.063169,708.776967,239791600
11/30/2012,717.331373,724.684469,711.167587,723.215329,713.000341,250014000
12/3/2012,726.848832,731.318446,717.167577,718.295451,708.064586,251185700
12/4/2012,717.103794,722.902106,709.285421,718.81762,708.76722,321006800
12/5/2012,718.616972,723.236136,706.343851,713.17577,703.772168,386084600
12/6/2012,710.496885,721.12191,705.068349,715.1017,705.550637,384901800
12/7/2012,719.079505,722.268831,706.68442,710.048919,700.742011,289315500
12/10/2012,708.971003,716.842171,701.601146,704.843094,695.596054,228799700
12/11/2012,709.577386,722.339407,705.710208,715.4474,705.998433,250794500
12/12/2012,717.956594,724.534323,711.762333,716.778994,707.371752,230917400
12/13/2012,724.180435,730.324386,713.871706,718.420819,709.176022,275608100
12/14/2012,713.343857,720.364116,707.829517,711.825055,702.927594,378536100
12/17/2012,713.99845,728.467804,711.038348,727.30136,718.246131,277175500
12/18/2012,727.059154,744.558674,725.44563,737.232941,727.914681,257275700
12/19/2012,737.863612,740.254355,730.053282,732.723325,723.53755,210558800
12/20/2012,735.319559,740.224848,728.177771,736.581271,727.475405,178519900
12/21/2012,726.491923,730.965019,721.700527,726.897408,717.833451,243835700
12/24/2012,727.136633,730.728956,722.432623,726.175255,717.096649,82034000
12/26/2012,723.870093,727.188991,710.099231,714.487168,705.533685,130477600
12/27/2012,713.383975,716.059359,701.123466,712.694834,703.705408,179106200
12/28/2012,706.592003,712.117966,704.186571,705.347989,696.454026,160940600
12/31/2012,704.344451,723.201146,700.990472,719.110655,709.8226,250755100
1/2/2013,734.605319,741.395471,727.948529,737.161735,727.579429,237779700
1/3/2013,737.668611,746.461248,733.335735,737.975265,728.5139,186699000
1/4/2013,739.399643,748.986289,735.728456,744.514253,735.316431,246481700
1/7/2013,746.353265,757.979493,742.577342,752.89742,743.753721,258605100
1/8/2013,752.865242,755.766675,741.585262,749.645116,740.476781,191638400
1/9/2013,751.12492,756.890701,745.049603,752.194687,743.169648,233241900
1/10/2013,758.47091,761.104679,745.277595,754.782695,745.645793,278269000
1/11/2013,754.448889,759.824503,750.130937,757.071918,747.991047,212069400
1/14/2013,753.442509,763.612814,743.567732,750.411754,741.654632,315942000
1/15/2013,745.54478,756.760522,737.390413,747.055763,738.574905,419715400
1/16/2013,745.799765,749.798986,737.042487,741.26392,732.431042,282176100
1/17/2013,746.009239,747.916351,738.819573,740.720464,731.94711,176221500
1/18/2013,740.550794,746.302739,733.236963,738.315318,729.58874,213281500
1/22/2013,738.700024,741.133029,730.177092,737.12551,728.315676,203153800
1/23/2013,754.853681,764.094385,749.941173,756.476954,747.505832,352883500
1/24/2013,756.160305,772.984745,753.31951,765.573939,757.711279,538071200
1/25/2013,765.730359,784.318107,762.19846,778.020643,770.343344,557252500
1/28/2013,777.327804,783.444914,763.994289,769.893297,762.042341,372754400
