,,timestamp,tweet
1382,jennablan,2019-25-11 22:19:27,Google told staff it fired four employees for what the company called “clear and repeated violations” of its data-s… https://t.co/kSl5Wt8Bgn
1434,jennablan,2019-23-11 20:01:49,A senior official singled out a Facebook employee embedded with the Trump campaign as an “MVP.” Now James Barnes is… https://t.co/grJtApORVm
1534,jennablan,2019-20-11 13:31:19,"Factbox: 'To Tim': Trump's tweets to Apple CEO Cook on factories, iPhones https://t.co/LMP9i0WKwf"
1536,jennablan,2019-20-11 13:15:41,RT @tim_cook: The construction of our new Austin campus is underway and the assembly line for Mac Pro is up and running! Building Apple’s m…
1559,jennablan,2019-19-11 14:29:13,"RT @scheplick: No big deal.

Apple just up more than 50,000% since its IPO in the 80s. It's at new all-time highs again today. https://t.co…"
1622,jennablan,2019-16-11 16:12:41,Climate activists protest at Blackrock over investments in the Amazon https://t.co/HBRJjaAcrL
1642,jennablan,2019-15-11 15:59:56,"RT @KirstenGrind: Google, the gatekeeper of the internet, wants you to believe its algorithms are autonomous and objective. They're not. Re…"
1649,jennablan,2019-15-11 13:11:40,Apple could raise annual ad income to $11 billion by 2025: JPMorgan https://t.co/PH2wHjZ7Gr
1652,jennablan,2019-14-11 21:53:00,"RT @tpetruno: Apple $AAPL and Microsoft $MSFT both hit new all-time highs in trading Thurs. Apple still holds market-value crown, $1.187 tr…"
1680,jennablan,2019-13-11 16:21:47,"RT @scheplick: I keep looking at this chart of Apple.

All-time highs *again* today. But by no means was it easy. It suffered a 40% correct…"
1688,jennablan,2019-13-11 13:15:52,Next in Google’s Quest for Consumer Dominance—Banking https://t.co/pbGHqLrgZh via @WSJ
1697,jennablan,12/11/2019,"RT @FinancialTimes: Opinion: If we do not want Facebook to run financial markets, it should not be allowed to create a global digital curre…"
1717,jennablan,12/11/2019,"RT @Reuters: Apple launched its titanium credit card in August, in partnership with Goldman Sachs. It appears to have had a rocky start how…"
1721,jennablan,12/11/2019,Google’s “Project Nightingale” gathers personal health data on millions of Americans  https://t.co/LJNoYbPRgv via @WSJ
1732,jennablan,11/11/2019,"RT @tim_cook: 'Never was so much owed by so many to so few.' — Winston Churchill. To the Veterans in my family, at Apple, and all around th…"
1914,jennablan,4/11/2019,Apple pledges $2.5 billion to fight California housing crisis via ⁦@StephenNellis⁩  https://t.co/CfZqdI4h90
1954,jennablan,2/11/2019,"* 02-Nov-2019 08:04:13 AM - BERKSHIRE HATHAWAY -  INVESTMENT IN APPLE INC TOTALED $57.0 BLN AS OF SEPTEMBER 30, 201… https://t.co/Ar7duZtwhp"
1981,jennablan,2019-31-10 14:42:26,"RT @FinancialTimes: The world’s largest, most liquid public equity market — which has provided capital to the likes of Google, Amazon and F…"
1982,jennablan,2019-31-10 13:48:01,Twitter bans political ads; Facebook's Zuckerberg defends them via ⁦@trhunnicutt⁩  https://t.co/0kQMrOHCFK
1985,jennablan,2019-31-10 13:24:08,"Price cuts, iPhone 11 timing drive Apple's uncertain China rebound: analysts https://t.co/XZFSmg2DtU"
